Date,Tijd,Dag,Close Date,Close Time,Close Day,Code,Asset,Status,Order,Timeframe,Session,Trend,Setup,Stoploss,News,Drawdown,Mindset,Mistakes,Potential R,Na BE,Result,Risk,Reward,Return (%),Linkjes,,Notes
6/3,6:15,Thu,,,,325,XAUUSD,Backtest,Sell,15min,London,Bearish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/LNYoD1wS/,,
11/3,7:15,Tue,,,,325,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/UnurETV1/,,
12/3,7:00,Wed,,,,325,XAUUSD,Backtest,Buy,15min,London,Range,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/8OQdcNVL/,,"30m paste niet, en 15 pip SL"
14/3,9:00,Fri,,,,325,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/KcIrBsmp/,,
18/3,8:00,Tue,,,,325,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/HZ1gzF0X/,,
20/3,9:30,Thu,,,,325,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/AccUS795/,,"Vond het geen clean setup, laag in de move en op het level openen"
21/3,9:00,Fri,,,,325,XAUUSD,Backtest,Buy,30min,London,Bearish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/0gmMKPC4/,,
25/3,8:30,Tue,,,,325,XAUUSD,Backtest,Sell,30min,London,Range,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/69UbFQJ4/,,clean trade
26/3,6:30,Wed,,,,325,XAUUSD,Backtest,Buy,15min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/QF338Rt6/,,15/15
28/3,6:30,Fri,,,,325,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/lnVq2cDT/,,
1/4,6:30,Tue,,,,425,XAUUSD,Backtest,Sell,30min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/H2kOEl7A/,,
2/4,6:00,Wed,,,,425,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/6hLas5QA/,,normal risky setup
4/4,10:00,Fri,,,,425,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/FY8Dk2m4/,,Goede break
8/4,7:00,Tue,,,,425,XAUUSD,Backtest,Buy,15min,London,Range,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/vwwratgg/,,
22/4,8:00,Tue,,,,425,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/bmoMfA23/,,Alt high
23/4,7:00,Wed,,,,425,XAUUSD,Backtest,Sell,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/r90c810o/,,
24/4,7:00,Thu,,,,425,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,0-50%,,,,l,B,1%,"0,00","0,00",https://www.tradingview.com/x/JSV694r3/,,op alleen 15m wel tp
28/4,6:30,Mon,,,,425,XAUUSD,Backtest,Buy,30min,London,Range,Continuation,Conservatief,,50-100%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/XRO1DuGT/,,
29/4,6:00,Tue,,,,425,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/Wq4rur6V/,,
30/4,6:00,Wed,,,,425,XAUUSD,Backtest,Sell,15min,London,Bearish,Continuation,Conservatief,,0-50%,,,,w,B,1%,"0,00","0,00",https://www.tradingview.com/x/ozhA0l8Y/,,
1/9,7:00,Mon,,,,926,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,w,B,1%,"0,00","0,00",https://www.tradingview.com/x/YXKPv3XJ/,,
1/9,8:30,Mon,,,,926,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,,l,B,1%,"0,00","0,00",https://www.tradingview.com/x/1MjwKRrT/,,
4/9,6:15,Thu,,,,926,XAUUSD,Backtest,Buy,15/15,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/4PxRjN8D/,,15/15
5/9,7:15,Fri,,,,926,XAUUSD,Backtest,Sell,15min,London,Range,Continuation,Conservatief,,50-100%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/mpGdnIiN/,,
9/9,7:00,Tue,,,,925,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/bUqQHGZ3/,,
11/9,7:00,Thu,,,,926,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/MgE3HbAS/,,laag in een move
12/9,8:15,Fri,,,,926,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/ZqPFqgWy/,,"Heel hoog in een move, https://www.tradingview.com/x/BWbTbGXj/"
15/9,8:45,Mon,,,,926,XAUUSD,Backtest,Sell,15min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/MBq5VbOV/,,
16/9,6:15,Tue,,,,925,XAUUSD,Backtest,Buy,15min,London,Range,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/y8mrqdyu/,,
17/9,8:30,Wo,,,,926,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/17VPKgy4/,,
19/9,7:45,Fri,,,,926,XAUUSD,Backtest,Sell,15min,London,Bearish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/QvWdKKAv/,,
22/9,8:15,Mon,,,,926,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/ZT29UBdh/,,alt high en redelijke break
23/9,8:30,Tue,,,,925,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/w9AoXAs6/,,
24/9,7:15,Wo,,,,926,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/PTIkXs1p/,,
25/9,10:00,Thu,,,,926,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,,l,B,1%,"0,00","0,00",https://www.tradingview.com/x/zQ7GAi1l/,,
30/9,6:30,Tue,,,,926,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/karZYUCA/,,15m had geeb wick low dus daarom op de 30
5/1,6:15,Mon,,,,126,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,"1,4",,W,1%,"1,20","1,20",https://www.tradingview.com/x/aeOhgOMv/,,
8/1,9:45,Thu,,,,126,XAUUSD,Backtest,Sell,15min,London,Bearish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/OuQZRQtj/,,
9/1,6:00,Fri,,,,126,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/3pIoCZ1J/,,
13/1,9:15,Tue,,,,126,XAUUSD,Backtest,Buy,15min,London,Range,Continuation,Conservatief,,0-50%,,,1.1,l,B,1%,"0,00","0,00",https://www.tradingview.com/x/hXlnyGaQ/,,
15/1,6:45,Thu,,,,126,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,"2,0",,W,1%,"1,20","1,20",https://www.tradingview.com/x/EZVClCJu/,,
20/1,8:15,Tue,,,,126,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,,,W,1%,"1,20","1,20",https://www.tradingview.com/x/vB1eaXx2/,,Live nemen ondanks mindere retracement/positie in de leg
22/1,8:15,Thu,,,,126,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/ccUCXXNb/,,"Hoog in een move maar 15m correctie, beter spelen https://www.tradingview.com/x/ZWx1fCBp/ "
23/1,6:00,Fri,,,,126,XAUUSD,Backtest,Buy,30min,London,Range,Continuation,Conservatief,,0-50%,,,,w,B,1%,"0,00","0,00",https://www.tradingview.com/x/n1tFKAvY/,,
3/2,9:30,Tue,,,,226,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,"1,3",,W,1%,"1,20","1,20",https://www.tradingview.com/x/X8Ig2y5S/,,Moet ik zetten
17/2,7:00,Tue,,,,226,XAUUSD,Backtest,Sell,30min,London,Bearish,Continuation,Conservatief,,0-50%,,,"2,2",,W,1%,"1,20","1,20",https://www.tradingview.com/x/QVZeiafJ/,,
18/2,9:30,Wed,,,,226,XAUUSD,Backtest,Sell,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,"2,5",,W,1%,"1,20","1,20",https://www.tradingview.com/x/DkXGcwkl/,,
6/3,6:45,Fri,,,,326,XAUUSD,Backtest,Sell,15min,London,Bullish,Continuation,Conservatief,,0-50%,,,"1,3",,W,1%,"1,20","1,20",https://www.tradingview.com/x/s4jjpJjJ/,,
10/3,6:30,Tue,,,,326,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,0-50%,,,"1,0",w,B,1%,"0,00","0,00",https://www.tradingview.com/x/TqppAhHc/,,
12/3,8:15,Thu,,,,326,XAUUSD,Backtest,Buy,15min,London,Bullish,Continuation,Conservatief,,50-100%,,,"2,0",,W,1%,"1,20","1,20",https://www.tradingview.com/x/sxH7qnEh/,,
13/3,7:15,Fri,,,,326,XAUUSD,Backtest,Sell,15min,London,Bearish,Continuation,Conservatief,,0-50%,,,"1,2",,W,1%,"1,20","1,20",https://www.tradingview.com/x/faiY32vN/,,
17/3,10:00,Tue,,,,326,XAUUSD,Backtest,Buy,30min,London,Bullish,Continuation,Conservatief,,50-100%,,,,,L,1%,"-1,00","-1,00",https://www.tradingview.com/x/ijdHKgp3/,,
,,,,,,1299,XAUUSD,Backtest,,,London,,,,,,,,,,,1%,,"0,00",,,
,,,,,,1299,XAUUSD,Backtest,,,London,,,,,,,,,,,1%,,"0,00",,,
,,,,,,1299,XAUUSD,Backtest,,,London,,,,,,,,,,,1%,,"0,00",,,
,,,,,,1299,XAUUSD,Backtest,,,London,,,,,,,,,,,1%,,"0,00",,,
,,,,,,,,,,,London,,,,,,,,,,,,,,,,
